iter	Passed	Remaining
946	8993	503
947	9001	493
948	9008	484
949	9016	474
950	9038	465
951	9044	456
952	9052	446
953	9059	436
954	9066	427
955	9073	417
956	9081	408
957	9087	398
958	9093	388
959	9124	380
960	9133	370
961	9140	361
962	9148	351
963	9154	341
964	9160	332
965	9167	322
966	9173	313
967	9183	303
968	9204	294
969	9210	284
970	9217	275
971	9223	265
972	9232	256
973	9238	246
974	9247	237
975	9253	227
976	9261	218
977	9266	208
978	9273	198
979	9281	189
980	9288	179
981	9297	170
982	9303	160
983	9311	151
984	9340	142
985	9357	132
986	9363	123
987	9369	113
988	9378	104
989	9385	94
990	9392	85
991	9398	75
992	9404	66
993	9411	56
994	9417	47
995	9425	37
996	9433	28
997	9444	18
998	9451	9
999	9460	0
